,Name,Appearances,Goals,Wins,Losses,Clean sheets,Goals Conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big Chances Created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Big chances missed,Freekicks scored,Goals per match,Penalties scored,Shooting accuracy %,Shots,Shots on target
227,Brooklyn Lyons-Foster,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,,,,,,,
228,Lucas Digne,107,4,43,38,30,137,218,63%,1,37,140,273,132,0,545,668,462,59,310,150,3,0,18,"4,357",40.72,33,811,26%,2,170,15,2,125,9,0,0,4,8,,,,,,,
229,Jonjoe Kenny,36,0,14,17,6,47,67,78%,0,2,47,109,57,0,138,145,122,11,62,43,0,0,2,"1,089",30.25,3,73,23%,0,71,3,0,28,1,0,0,0,1,,,,,,,
230,Tyrone Mings,92,4,31,44,23,128,64,67%,2,7,99,436,197,5,504,328,202,26,200,114,3,4,5,"3,873",42.10,2,18,28%,0,304,14,1,57,5,1,0,3,0,,,,,,,
231,Calum Chambers,151,6,53,61,30,187,269,70%,1,25,257,582,324,1,791,744,664,97,323,259,1,1,5,"6,496",43.02,10,246,18%,6,320,28,1,146,2,1,4,1,1,,,,,,,
232,James Tarkowski,166,7,58,71,46,215,278,60%,2,14,221,884,521,8,666,"1,175",592,47,735,318,0,2,3,"5,326",32.08,8,21,24%,0,514,33,0,153,16,3,1,2,2,,,,,,,
233,Joel Ward,232,4,73,109,53,327,536,78%,1,27,413,890,507,4,"1,162","1,353",941,117,458,297,1,3,6,"7,546",32.53,11,449,17%,3,402,34,0,236,5,2,1,1,3,,,,,,,
234,Kaine Hayden,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,,,,,,,
235,Danny Rose,198,9,95,59,42,195,456,77%,5,39,318,437,234,3,966,"1,245",878,209,202,164,0,5,17,"7,496",37.86,22,627,18%,11,347,51,2,251,9,1,1,7,3,,,,,,,
236,Allan Tchaptchet,1,0,0,1,0,3,0,0%,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,,,,,,,
237,Timm Klose,17,1,2,13,2,26,22,59%,0,2,31,129,82,0,71,92,60,4,57,37,1,0,0,650,38.24,0,0,0%,0,44,3,0,14,0,1,0,0,0,,,,,,,
238,Joe Rodon,13,0,6,4,2,15,14,64%,1,0,21,42,21,0,39,45,18,0,23,15,0,1,0,451,34.69,0,0,0%,0,18,0,0,2,1,0,0,0,0,,,,,,,
239,Sam Woods,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,,,,,,,
240,Yerson Mosquera,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,,,,,,,
241,Ryan Bertrand,262,7,92,109,67,351,401,66%,2,34,362,434,207,4,990,"1,115","1,016",106,353,373,0,1,16,"10,013",38.22,30,904,21%,9,332,36,2,241,13,1,2,4,3,,,,,,,
242,Dan Burn,73,1,19,28,16,89,131,58%,0,8,85,276,182,2,290,443,315,31,263,113,1,0,0,"2,970",40.68,3,88,19%,3,93,10,0,76,7,0,1,0,1,,,,,,,
